data,regiao,produto,vendas,quantidade
2024-01-15,Norte,Laptop,15000,10
2024-01-18,Sul,Mouse,500,50
2024-01-20,Norte,Teclado,2000,40
2024-02-05,Leste,Monitor,12000,15
2024-02-10,Sul,Laptop,18000,12
2024-02-15,Oeste,Mouse,450,45
2024-03-01,Norte,Monitor,9000,10
2024-03-10,Sul,Teclado,1800,36
2024-03-15,Leste,Laptop,16500,11
2024-03-20,Oeste,Mouse,600,60
2024-04-05,Norte,Teclado,2200,44
2024-04-12,Sul,Monitor,10500,12
2024-04-18,Leste,Mouse,550,55
2024-04-25,Oeste,Laptop,17000,11
2024-05-03,Norte,Mouse,480,48
2024-05-10,Sul,Teclado,1900,38
2024-05-15,Leste,Monitor,11000,13
2024-05-22,Oeste,Laptop,19000,13
2024-06-02,Norte,Monitor,8500,9
2024-06-08,Sul,Mouse,520,52
